Dirt
Grass
Podzol
Mycelium
Bedrock
Sand
Red Sand
Gravel
Clay
Ice
Packed Ice
Snow Layer
Snow
Soul Sand
Glowstone
Mushroom Block
Sponge
Cobweb
Oak Log
Spruce Log
Birch Log
Jungle Log
Acacia Log
Dark Oak Log
Oak Plank
Spruce Plank
Birch Plank
Jungle Plank
Acacia Plank
Dark Oak Plank
Oak Leaves
Spruce Leaves
Birch Leaves
Jungle Leaves
Acacia Leaves
Dark Oak Leaves
Stone
Cobblestone
Mossy Cobblestone
Obsidian
Sandstone
Netherrack
End Stone
Chiseled Sandstone
Smooth Sandstone
Bricks
Nether Brick
Stone Brick
Mossy Stone Brick
Cracked Stone Brick
Chiseled Stone Brick
Quartz Block
Chiseled Quartz Block
Quartz Pillar
Cobblestone Wall
Mossy Cobblestone Wall
Stone Slab
Sandstone Slab
Sandstone Stair
Cobblestone Slab
Cobblestone Stair
Brick Slab
Brick Stair
Stone Brick Slab
Stone Brick Stair
Nether Brick Slab
Nether Brick Stair
Quartz Slab
Quartz Stair
Oak Slab
Oak Stair
Spruce Slab
Spruce Stair
Birch Slab
Birch Stair
Jungle Slab
Jungle Stair
Acacia Slab
Acacia Stair
Dark Oak Slab
Dark Oak Stair
Coal Ore
Iron Ore
Gold Ore
Diamond Ore
Emerald Ore
Redstone Ore
Lapis Lazuli Ore
Quartz Ore
Coal Block
Iron Block
Gold Block
Diamond Block
Emerald Block
Lapis Lazuli Block
Hardened Clay
White Clay
Orange Clay
Magenta Clay
Light Blue Clay
Yellow Clay
Lime Clay
Pink Clay
Dark Grey Clay
Grey Clay
Cyan Clay
Purple Clay
Blue Clay
Brown Clay
Green Clay
Red Clay
Black Clay
White Wool
Orange Wool
Magenta Wool
Light Blue Wool
Yellow Wool
Lime Wool
Pink Wool
Dark Grey Wool
Grey Wool
Cyan Wool
Purple Wool
Blue Wool
Brown Wool
Green Wool
Red Wool
Black Wool
White Carpet
Orange Carpet
Magenta Carpet
Light Blue Carpet
Yellow Carpet
Lime Carpet
Pink Carpet
Dark Grey Carpet
Grey Carpet
Cyan Carpet
Purple Carpet
Blue Carpet
Brown Carpet
Green Carpet
Red Carpet
Black Carpet
Glass
White Glass
Orange Glass
Magenta Glass
Light Blue Glass
Yellow Glass
Lime Glass
Pink Glass
Dark Grey Glass
Grey Glass
